,age,job,marital,education,balance,housing,loan,day,month,duration,campaign,pdays,previous,deposit
0,59,3,0,0,2343,1,0,5,4,1042,1,-1,0,1
1,56,3,0,0,45,0,0,5,4,1467,1,-1,0,1
2,41,2,0,0,1270,1,0,5,4,1389,1,-1,0,1
3,55,4,0,0,2476,1,0,5,4,579,1,-1,0,1
4,54,3,0,1,184,0,0,5,4,673,2,-1,0,1
5,42,0,1,1,0,1,1,5,4,562,2,-1,0,1
6,56,0,0,1,830,1,1,6,4,1201,1,-1,0,1
7,60,5,2,0,545,1,0,6,4,1030,1,-1,0,1
8,37,2,0,0,1,1,0,6,4,608,1,-1,0,1
9,28,4,1,0,5090,1,0,6,4,1297,3,-1,0,1
10,38,3,1,0,100,1,0,7,4,786,1,-1,0,1
11,30,1,0,0,309,1,0,7,4,1574,2,-1,0,1
12,29,0,0,1,199,1,1,7,4,1689,4,-1,0,1
13,46,1,1,1,460,1,0,7,4,1102,2,-1,0,1
14,31,2,1,1,703,1,0,8,4,943,2,-1,0,1
15,35,0,2,1,3837,1,0,8,4,1084,1,-1,0,1
16,32,1,1,2,611,1,0,8,4,541,3,-1,0,1
17,49,4,0,0,-8,1,0,8,4,1119,1,-1,0,1
18,41,3,0,0,55,1,0,8,4,1120,2,-1,0,1
19,49,3,2,0,168,1,1,8,4,513,1,-1,0,1
20,28,3,2,0,785,1,0,8,4,442,2,-1,0,1
21,43,0,1,1,2067,1,0,8,4,756,1,-1,0,1
22,43,0,2,1,388,1,0,8,4,2087,2,-1,0,1
23,43,1,0,2,-192,1,0,8,4,1120,2,-1,0,1
24,37,7,1,0,381,1,0,8,4,985,2,-1,0,1
25,35,1,1,0,40,1,0,9,4,617,4,-1,0,1
26,31,2,1,1,22,1,0,9,4,483,3,-1,0,1
27,43,1,1,0,3,1,0,9,4,929,3,-1,0,1
28,31,3,0,0,307,1,0,9,4,538,1,-1,0,1
29,28,1,1,0,759,1,0,9,4,710,1,-1,0,1
30,32,1,0,0,-1,1,0,9,4,653,1,-1,0,1
31,60,2,0,2,65,1,0,9,4,1028,2,-1,0,1
32,26,1,1,0,82,1,0,9,4,654,1,-1,0,1
33,40,1,0,0,10,1,0,9,4,1692,2,-1,0,1
34,33,1,2,2,390,1,0,9,4,665,2,-1,0,1
35,32,0,1,1,311,0,0,12,4,757,2,-1,0,1
36,35,1,0,2,414,0,0,13,4,504,4,-1,0,1
37,33,0,2,0,5,1,0,13,4,1346,1,-1,0,1
38,38,0,0,1,119,1,0,13,4,568,4,-1,0,1
39,23,8,1,2,4,1,0,13,4,395,2,-1,0,1
